Timestamp,Action,Method,Route,Status,IP
"2026-02-15T06:28:22.074Z","ROUTE_CREATED","GUST-20260215-11586-69","GET","/api/user","200","127.0.0.1"
"2026-02-15T06:28:47.573Z","ROUTE_CREATED","GUST-20260215-11586-69","GET","/api/user","200","127.0.0.1"
"2026-02-15T06:30:10.498Z","ROUTE_CREATED","GUST-20260215-11586-69","GET","/api/user","200","127.0.0.1"
"2026-02-15T06:31:10.929Z","API_HIT","GUST-20260215-11586-69","GET","/api/list","404","127.0.0.1"
"2026-02-15T06:31:29.801Z","API_HIT","GUST-20260215-11586-69","GET","/api/list","404","127.0.0.1"
"2026-02-15T06:39:47.249Z","API_HIT","PUBLIC","GET","/api/user","404","127.0.0.1"
"2026-02-15T06:40:02.555Z","API_HIT","PUBLIC","GET","/api/user","404","127.0.0.1"
"2026-02-15T06:40:28.454Z","ROUTE_CREATED","GUST-20260215-11586-69","GET","/new","200","127.0.0.1"
"2026-02-15T06:40:38.518Z","API_HIT","PUBLIC","GET","/new","404","127.0.0.1"
"2026-02-15T06:46:40.817Z","ROUTE_CREATED","GUST-20260215-121618-659","GET","/new/user","200","127.0.0.1"
"2026-02-15T06:50:50.254Z","ROUTE_CREATED","GUST-20260215-11586-69","POST","/Mohit/Admin","200","127.0.0.1"
"2026-02-15T07:02:07.344Z","ROUTE_CREATED","GUST-20260215-11586-69","GET","/new/api","200","127.0.0.1"
"2026-02-15T07:03:07.212Z","ROUTE_CREATED","GUST-20260215-11586-69","POST","/new/api/test","200","127.0.0.1"
"2026-02-15T07:04:49.465Z","ROUTE_DELETED","GUST-20260215-11586-69","GET","/new/api","","127.0.0.1"
"2026-02-15T07:04:51.427Z","ROUTE_DELETED","GUST-20260215-11586-69","POST","/new/api/test","","127.0.0.1"
"2026-02-15T07:16:15.369Z","ROUTE_CREATED","GUST-20260215-11586-69","GET","test/admin","200","127.0.0.1"
"2026-02-15T14:24:48.673Z","ROUTE_CREATED","GUST-20260215-11586-69","GET","/Notify","200","127.0.0.1"
"2026-02-15T14:34:01.018Z","ROUTE_CREATED","GET","/ok","200","127.0.0.1"
"2026-02-15T14:34:28.931Z","API_HIT","GET","/ok","200","127.0.0.1"
"2026-02-15T14:34:51.008Z","ROUTE_DELETED","GET","/ok","","127.0.0.1"
"2026-02-15T14:51:48.220Z","ROUTE_CREATED","GUST-20260215-11586-69","GET","okk","200","127.0.0.1"
"2026-02-15T17:00:44.505Z","API_HIT","GET","/favicon.ico","404","127.0.0.1"
